rule_id,category,rule_title,description,risk_indicators,mitigation,example_scenario,classification
1,Data Safety,Do not upload sensitive information,"Personal data, confidential records, classified documents, and operationally sensitive information must never be submitted to public AI tools.",Contains names of real individuals; includes financial figures; references restricted operations; involves identifiable participants,Use only dummy data or public documents; apply data minimisation; review before submission,Uploading anonymised training notes vs uploading an actual personnel record,Prohibited if real sensitive data
2,Output Verification,Verify factual claims before use,"AI-generated content may contain hallucinations — plausible but incorrect facts, figures, names, or dates — that require human verification.",Content includes specific statistics; cites sources; contains names or dates; makes strong assertions,Cross-check key facts with authoritative sources; mark uncertain points explicitly; require a verification checklist,AI-generated budget note containing invented figures presented as facts,High oversight required
3,Human Authority,Maintain human decision authority,"AI should support analysis and drafting. Official decisions, approvals, and accountable actions must be taken by a qualified human, not by AI output alone.",Prompt asks AI to make a final decision; output is used without review; accountability is unclear,Use AI for draft and options only; require named human reviewer and approver; document the review,Using an AI-generated recommendation as the final official decision without verification,Restricted — human approval mandatory
4,Data Minimisation,Use minimum necessary information,"Provide only the information needed for the task. Avoid uploading entire documents when only a section is relevant.",Full document uploaded when a summary would suffice; excess personal context included; unnecessary background data shared,Extract only the relevant section before submission; anonymise where possible; apply need-to-know principle,Copying an entire 50-page policy document when only the relevant clause is needed,Restricted — minimise input
5,Audit Trail,Document AI-assisted decisions,"When AI is used in a significant decision-making process, record what was used, how, and who reviewed the output.",No record of AI use; reviewer is unnamed; version of output used is unclear,Maintain a simple log of AI use: tool used, date, task, reviewer name, and decision taken,Using an AI-drafted brief in a committee meeting without noting that it was AI-assisted,Best practice — document always
6,Bias Awareness,Monitor for bias in AI outputs,"AI models may reflect biases present in training data. Outputs involving people, groups, or comparative evaluations need extra scrutiny.",Output refers to demographic groups; evaluates individuals; makes comparative assessments; uses stereotyped language,Apply an explicit bias review checklist; involve diverse reviewers; avoid demographic profiling in prompts,AI-generated recruitment criteria that inadvertently favour one profile over another,High oversight required
7,Transparency,Be transparent about AI assistance,"When AI has contributed to a document or decision, the appropriate parties should be aware. Concealment undermines trust and accountability.",AI-assisted content presented as entirely human-authored; no disclosure to reviewers or approvers,Disclose AI assistance in the document or covering note; identify which sections are AI-supported vs human-authored,Submitting an AI-drafted policy note to a committee without disclosing the AI contribution,Best practice — disclose where material
8,Overreliance Prevention,Maintain critical evaluation of AI outputs,"AI outputs that are fluent and well-formatted can create false confidence. Quality of presentation is not proof of quality of content.",Output is accepted without review due to professional appearance; AI confidence is mistaken for accuracy,Apply a structured review checklist regardless of output quality; treat AI output as a first draft only,Accepting an AI summary of a legal document without reading the source,High oversight required
9,Copyright and Attribution,Respect source material and intellectual property,"AI-generated content that paraphrases or reproduces third-party content without attribution may create copyright or intellectual property issues.",Output closely echoes a specific source document; reproduces lengthy passages; lacks attribution,Request source references where available; verify that reproduced text is not from a protected source,AI generating a training module that closely mirrors a commercial training provider's materials,Review for attribution
10,Sensitive Contexts,Avoid AI in high-stakes irreversible decisions,"AI should not be used to support decisions that are irreversible, involve significant individual rights, or have major legal or financial consequences without substantial human safeguards.",Decision is irreversible; involves individual rights or employment; has legal or financial consequences above defined thresholds,Apply enhanced review; involve subject-matter experts; escalate to senior leadership for final approval,Using AI to screen candidates and rejecting applicants without human review,Restricted — enhanced oversight mandatory
