title,category,tool,risk_level,output_type,prompt,warning
Executive Brief from Raw Notes,Executive Communication,ChatGPT Free / Gemini Free,Low,Executive Brief,"Act as an executive assistant. Read the following administrative note and prepare a formal executive brief for senior leadership. Structure your response as: (1) Background, (2) Key Observations, (3) Decision Points Required, (4) Risks and Considerations, (5) Recommended Actions, (6) Follow-up Timeline. Use formal language. Do not invent facts, names, or figures not present in the note. Mark any uncertain points clearly.","Verify all factual claims before circulating. Do not include real names or sensitive operational details in your input."
Risk Register Creation,Risk Management,ChatGPT Free / Gemini Free,Medium,Risk Register,"Act as a risk management advisor. Create a risk register for the following project or initiative. For each risk, provide: Risk Description, Likelihood (High/Medium/Low), Potential Impact (High/Medium/Low), Mitigation Recommendation, Suggested Owner (role only), and Review Frequency. Use only the context supplied. Do not invent risks beyond what can be reasonably inferred from the input. Flag any areas where more information would improve the register.","A domain expert must validate all risk ratings before the register is used for official governance purposes."
Meeting Minutes from Raw Notes,Meeting Management,ChatGPT Free / Copilot Free,Low,Meeting Minutes,"Act as an executive coordinator. Convert the following raw meeting notes into formal minutes. Use the structure: (1) Meeting Details, (2) Attendees, (3) Agenda Items Discussed, (4) Decisions Taken, (5) Action Items with Owner and Deadline, (6) Pending Items. Do not invent decisions, owners, or deadlines not present in the source notes. Use formal and precise language.","The meeting chair must review and approve AI-assisted minutes before they are circulated as an official record. Confirm all decisions and owners."
Stakeholder Communication Draft,Communication,Copilot Free / ChatGPT Free,Low,Email Draft,"Act as a communications specialist. Draft a formal and respectful communication to the following stakeholder group. The message should include: context, key message, action required, timeline, any acknowledged concerns, and a contact for queries. Maintain an appropriate tone for senior professionals. Do not add information beyond the supplied context. Keep the message concise and action-oriented.","Review tone, authority level, and factual accuracy before sending. Confirm that the message is appropriately authorised."
Policy Simplification for Management,Policy & Governance,NotebookLM Free / Gemini Free,Medium,Policy Note,"Act as a policy communication specialist. Using only the following public policy text, prepare a simplified implementation note for operational managers. Structure your response as: (1) Policy Purpose, (2) Key Obligations for Managers, (3) Required Actions and Timeline, (4) Areas Requiring Official Clarification, (5) Compliance Checklist. Do not add interpretation beyond what is stated in the source. Flag any ambiguous clauses.","A policy expert must review this simplification before it is shared as operational guidance. Do not treat AI-generated policy notes as legally authoritative."
Training Session Plan,Training & Development,ChatGPT Free / Canva Free,Low,Session Plan,"Act as an instructional designer. Using the following learning objectives and topic outline, create a structured 90-minute session plan for experienced management professionals. Include: session opening, three main content sections, one interactive activity per section, timing allocation, transition notes, and two assessment questions for the closing segment. Do not assume specific organisational context beyond what is supplied.","The facilitator must review and adapt the session plan for the specific learner group, institutional context, and available resources."
Scenario Planning Note,Decision Support,ChatGPT Free / Gemini Free,Medium,Scenario Note,"Act as a strategic planning advisor. For the following management situation, create three planning scenarios: (1) Optimistic — best realistic case with favourable conditions, (2) Realistic — most probable outcome based on available information, (3) Risk-Sensitive — key downside scenario with early warning indicators. For each scenario, include: assumptions, recommended management actions, and warning signs. Use only the supplied context.","Validate all scenario assumptions with domain experts. Do not use scenario planning outputs as final strategic decisions without leadership review."
Decision Memo with Options,Decision Support,ChatGPT Free / Gemini Free,Medium,Decision Memo,"Act as a management consultant. Prepare a structured decision memo comparing the following options. For each option, evaluate: cost effectiveness, feasibility, timeline to implement, risk level, stakeholder impact, and long-term value. Present a comparison table and a clear recommendation with rationale. Do not invent costs, timelines, or stakeholder data not provided. Flag assumptions clearly.","Human decision authority must be retained. AI-generated decision memos support analysis but cannot replace authorised decision-making."
Procurement Justification Note,Finance & Procurement,ChatGPT Free / Gemini Free,Medium,Justification Note,"Act as a procurement advisory specialist. Review the following non-sensitive procurement context and prepare a structured justification note. Include: purpose and need, scope description, options considered, risk register, missing information that must be confirmed, and review questions for the finance or governance committee. Do not add procurement rules or approval requirements that have not been provided.","A qualified procurement officer must verify compliance with institutional rules before this note is submitted for approval."
Performance Feedback Framework,HR & People Management,ChatGPT Free / Copilot Free,Medium,Feedback Framework,"Act as an HR advisory specialist. Using the following performance observations, create a structured review framework with: (1) Key Strengths with examples, (2) Development Priorities, (3) Recommended Goals, (4) Suggested Support Actions. Maintain a constructive and factual tone throughout. Do not invent behavioural examples or ratings. Do not include personal identifying information.","The line manager must personalise and validate this framework based on direct observation before discussing it with the individual."
Data Storytelling Summary,Analytics & Reporting,ChatGPT Free / Gemini Free,Low,Narrative Summary,"Act as a data communication specialist. Convert the following management data observations into a clear narrative for a senior leadership audience. Structure as: (1) Key Insight, (2) Supporting Evidence, (3) Management Implication, (4) Identified Risk, (5) Recommended Action. Keep the narrative concise, evidence-based, and free from overclaiming. Do not invent trends or figures not present in the input.","A data analyst must verify that all narrative claims are supported by the source data before the summary is shared with leadership."
AI Adoption Communication,Change Management,ChatGPT Free / Copilot Free,Low,Communication Note,"Act as a change management specialist. Draft a communication to introduce AI-assisted tools to a professional team. Address: the purpose of AI adoption, which tasks it will support, what it will not replace, key safety rules for staff, and how concerns will be addressed. Keep the tone reassuring, transparent, and professional. Do not overstate AI capabilities or minimise legitimate concerns.","Review for accuracy, appropriate authority level, and alignment with your organisation's AI governance policy before circulating."
Briefing Note for Leadership,Executive Communication,ChatGPT Free / NotebookLM Free,Medium,Briefing Note,"Act as a senior policy analyst. Prepare a one-page briefing note for leadership on the following topic. Use the structure: (1) Background, (2) Current Status, (3) Decision Required, (4) Options Available, (5) Risks and Mitigations, (6) Recommendation. Use formal language. Cite only information present in the supplied source. Do not invent policy positions or attribute views to parties not mentioned.","All policy claims must be verified by a domain expert. Do not share with leadership until a qualified reviewer has confirmed factual accuracy."
