id,domain,title,management_problem,how_ai_helps,sample_prompt,expected_output,risk_level,limitation,human_oversight,discussion_question
1,HR & Workforce,Workforce Planning Brief,"HR teams struggle to synthesise workforce data, attrition trends, and skills gaps into a leadership-ready brief within short timelines.","AI can convert raw workforce observations into a structured brief with key findings, risks, and workforce recommendations.","Act as an HR strategy analyst. Using the following workforce observations, prepare a leadership brief covering: key trends, critical skill gaps, attrition risks, recommended interventions, and a 30-day action timeline. Use only the provided data.",Executive workforce brief with key findings and recommendations,Medium,AI cannot access real HR data or verify figures; human verification is essential.,A qualified HR professional must verify all figures and recommendations before the brief is circulated.,"What workforce data would you consider too sensitive to include in an AI-drafted brief, and why?"
2,Training & Development,Training Needs Analysis,"Managers often lack a structured method for translating performance observations into a coherent training needs analysis document.","AI can help convert selected performance themes into a structured training needs analysis with learning objectives and recommended interventions.","Act as a learning and development specialist. Convert the following performance observations into a training needs analysis. Include: priority skill gaps, recommended training interventions, target audience, suggested delivery format, and success measures.",Structured training needs analysis document,Low,AI cannot independently verify whether performance data is accurate or representative.,A senior training manager must validate the needs analysis before any programme is designed or budget is committed.,"How would you decide which performance observations are safe to include in an AI-assisted training needs analysis?"
3,Operations,Process Improvement Note,"Operational teams frequently identify inefficiencies but struggle to document them in a format suitable for management review and approval.","AI can help convert raw operational observations into a structured process improvement note with root cause analysis, recommendations, and a pilot plan.","Act as a process improvement analyst. Using the following observations, create a structured process improvement note with: current-state summary, identified root causes, proposed improvements, risk considerations, and a 60-day pilot plan.",Process improvement note with root cause analysis and pilot plan,Low,AI may miss domain-specific constraints; process experts must review the analysis.,A senior operations manager must review the improvement note before any workflow changes are authorised.,"Which aspects of a process improvement proposal are most likely to require domain expertise that AI cannot provide?"
4,Finance,Budget Review Support,"Finance review teams need to identify spending anomalies and prepare management notes quickly before budget discussions.","AI can help structure anonymised budget data into a review note with observations, anomalies, questions for the finance team, and risk flags.","Act as a financial governance advisor. Review the following anonymised budget summary. Identify: key observations, unusual spending patterns, budget risks, and three questions for the finance review meeting.",Budget review note with observations and review questions,Medium,"AI must not handle actual financial data; anonymised or dummy data only. All figures require official verification.","A finance officer must verify all observations and questions before the note is shared with budget holders.","What information would you remove from a budget table before using AI to help structure it for review?"
5,Healthcare Management,Patient Communication Improvement,"Healthcare management teams need to improve patient-facing communications but lack time to review and rewrite standard templates.","AI can help review and rewrite patient communication templates for clarity, tone, and comprehensiveness, using only approved draft text.","Act as a healthcare communications specialist. Review the following patient communication template. Rewrite it for: clarity, appropriate tone, completeness, accessibility, and a clear call to action. Do not add clinical claims or medical advice.",Improved patient communication template,Medium,AI must not add clinical guidance or medical information. All rewrites require clinical and legal sign-off.,Clinical and legal teams must review any revised patient communication before it is published or distributed.,"What types of healthcare communication changes should require clinical review even if the language revision seems minor?"
6,Education Management,Learning Programme Design,"Educators and programme designers often need to create structured session plans but struggle with time constraints and format consistency.","AI can help convert learning objectives and topic outlines into a structured session plan with activities, timing, and assessment ideas.","Act as an instructional designer. Using the following learning objectives and topic outline, create a 90-minute session plan with: session opening, three core content sections, one learner activity per section, timing allocation, and an assessment question for each section.",Structured 90-minute session plan with activities and assessments,Low,AI cannot assess what will resonate with a specific learner group; facilitator adaptation is essential.,The facilitator must review the session plan against the actual learner group and adjust for context and pacing.,"How would you test whether an AI-generated session plan is appropriate for your specific learner group?"
7,Logistics & Supply Chain,Supply Chain Risk Summary,"Supply chain managers frequently need to prepare risk summaries before leadership reviews but struggle with format consistency and comprehensiveness.","AI can convert a list of supply chain observations and concerns into a structured risk summary with likelihood ratings, impacts, and mitigation steps.","Act as a supply chain risk analyst. Convert the following supply chain observations into a risk summary with: risk description, likelihood, operational impact, mitigation recommendation, and escalation trigger for each item.",Supply chain risk summary with mitigation recommendations,Medium,AI cannot verify supplier data or market conditions. Risk ratings require domain expert validation.,A supply chain manager with relevant domain knowledge must validate all risk ratings and mitigation recommendations.,"Which supply chain risks would you consider too operationally sensitive to process through a public AI tool?"
8,Public Administration,Policy Simplification Note,"Public administrators often need to translate lengthy policy documents into accessible implementation guides for operational managers.","AI can help simplify public-domain policy text into a structured implementation note with key obligations, action points, and clarification flags.","Act as a policy communication specialist. Using the following public policy extract, prepare an implementation note for operational managers. Include: key obligations, required actions, timeline, items needing official clarification, and a compliance checklist.",Policy implementation note with compliance checklist,Medium,AI may misinterpret policy nuance; simplified notes must not be used as substitute for official guidance.,A policy expert must review all AI-assisted simplifications before they are distributed to operational managers.,"What is the risk of treating an AI-generated policy simplification as a substitute for official legal or compliance advice?"
9,Stakeholder Management,Stakeholder Engagement Plan,"Project managers frequently need to develop stakeholder engagement plans but lack a structured template and sufficient time for comprehensive mapping.","AI can help build a stakeholder engagement plan from a list of stakeholder groups, interests, and communication preferences.","Act as a stakeholder engagement specialist. Using the following stakeholder list and context, create a structured engagement plan with: stakeholder group, key interest, preferred communication channel, frequency, key message, and feedback mechanism.",Stakeholder engagement plan with communication schedule,Low,AI-generated stakeholder maps may miss political sensitivities and informal power dynamics that require human judgement.,A senior manager familiar with the organisational context must review the engagement plan before it is implemented.,"What aspects of stakeholder mapping require human relationship intelligence that AI cannot replicate from a list alone?"
10,Knowledge Management,Meeting Documentation,"Organisations frequently lose institutional knowledge because meeting discussions are not captured systematically or converted into accessible records.","AI can convert raw meeting notes into structured minutes with decisions, owners, deadlines, and open items.","Act as an executive coordinator. Convert the following raw meeting notes into formal minutes. Use: agenda, discussion summary, decisions taken, action items with owners and deadlines, and pending issues. Do not invent decisions or owners not present in the notes.",Formal meeting minutes with action items and deadlines,Low,AI cannot verify whether all discussion points were captured. Missing context will produce incomplete minutes.,The meeting chair must review and approve all AI-assisted minutes before they are circulated as official records.,"What types of decisions or commitments made in a meeting should never appear in AI-drafted minutes without explicit human confirmation?"
