title,situation,dilemma,tasks,risks,debrief,role_options,decision_paths,expected_output
Improving Training Attendance,"An executive education unit is seeing attendance fall below target in its flagship professional development programme. Participants cite scheduling conflicts, last-minute communication, and unclear reporting lines as reasons for non-attendance.","The programme lead must decide between sending individual reminders, enforcing a mandatory-attendance policy, or redesigning the schedule based on participant feedback.","Draft a communication to re-engage participants; summarise feedback trends; create an action plan; prepare a risk note on mandatory attendance","Privacy if personal attendance data is used; tone insensitivity; overgeneralisation from limited feedback; policy overreach","What should a human reviewer check before this communication is circulated? What risks does a mandatory attendance policy introduce?","Programme Lead; Training Coordinator; Senior Manager; HR Representative","Send targeted reminder emails; Redesign schedule after survey; Enforce attendance policy with escalation; Commission a root-cause study first","Executive brief with options; stakeholder email draft; attendance improvement action plan"
Executive Decision with Incomplete Data,"A department head must submit a resource allocation recommendation within 48 hours but has incomplete data on staff availability, budget approvals, and project timelines.","Proceed with best available information and flag gaps; request extension; delegate to a sub-team; use scenario planning to cover uncertainty.","Prepare a decision memo under uncertainty; identify missing information; create three scenarios; draft a request for an extension if needed","Hallucination risk if AI fills data gaps with invented figures; overconfidence in partial analysis; missing accountability trail","How should a decision memo signal uncertainty to the reviewer? At what point is incomplete data too risky to proceed?","Department Head; Resource Manager; Senior Analyst; Governance Officer","Submit with clearly flagged data gaps; Request 48-hour extension; Delegate with documented assumptions; Use scenario memo with three options","Decision memo with flagged uncertainties; scenario planning note; extension request draft"
Process Improvement in Administration,"An administrative operations team spends significant time on manual reporting, fragmented communication, and inconsistent document formatting across units.","The operations manager must identify which tasks could be supported by AI without introducing security or quality risks, and prepare a pilot plan for leadership approval.","Map current workflow; identify AI-suitable tasks; create a risk register; draft a pilot proposal with safeguards","Data handling if documents contain personal information; over-automation without review; inconsistent output quality; dependency risk","Which tasks should remain fully manual? What governance structure should oversee the pilot?","Operations Manager; Process Improvement Lead; IT Coordinator; Compliance Officer","Automate formatting and template generation only; Extend to summary and brief generation with review; Defer until governance policy is confirmed; Run a controlled two-week pilot first","Process improvement note; risk register; pilot proposal draft"
Stakeholder Communication Challenge,"A cross-functional project team has received contradictory feedback from three different stakeholder groups. Leadership wants a consolidated communication note that acknowledges all views without creating further confusion.","The project lead must decide whether to address all concerns in one message, send targeted communications to each group, or convene a clarification meeting first.","Draft a consolidated stakeholder communication; summarise conflicting feedback; propose a resolution approach; flag risks of each option","Tone misalignment for different audiences; selective representation of feedback; escalation if concerns are not acknowledged; perception of favouritism","How do you ensure all stakeholder groups feel heard without creating conflicting commitments?","Project Lead; Communications Specialist; Department Head; External Relations Officer","Send one consolidated message acknowledging all views; Send targeted notes to each group; Convene a briefing session before any written communication; Escalate to senior leadership for guidance","Stakeholder communication draft; feedback summary; communication risk note"
AI Adoption Resistance,"A team has been introduced to AI-assisted drafting tools but adoption is low. Some members cite trust concerns, others raise workload issues, and a few believe manual methods are more reliable for their specific work.","The manager must address resistance without mandating adoption in a way that undermines trust. A communication and change-management approach is needed.","Create an adoption communication strategy; draft a reassurance note; identify root causes of resistance; design a low-pressure pilot","Mandate without buy-in causing further resistance; privacy concerns if usage is tracked; perception that AI replaces roles","What combination of reassurance, training, and demonstration is most likely to build genuine adoption?","Manager; Change Management Lead; HR Representative; Training Coordinator","Run an optional demonstration session first; Survey team members to surface specific concerns; Mandate a limited pilot with feedback collection; Share success examples from comparable teams","Change management communication; adoption plan; reassurance note"
Healthcare Appointment Workflow,"A health services management team is reviewing its patient appointment scheduling process. Average wait times have increased and administrative staff are managing competing requests from multiple departments manually.","The operations lead must evaluate whether AI-assisted scheduling support can reduce wait times without compromising patient data safety or decision authority.","Map the current scheduling workflow; identify AI-suitable steps; assess data sensitivity; draft a responsible-use note for leadership approval","Patient data privacy; over-reliance on AI scheduling; edge cases requiring human judgement; liability if AI misroutes urgent appointments","Which scheduling tasks are safe for AI assistance and which must remain under human control at all times?","Operations Lead; Healthcare Administrator; Data Governance Officer; Clinical Services Manager","Use AI for non-clinical scheduling support only; Restrict AI to template generation and reminders; Conduct a three-month pilot with audit trail; Defer pending a full privacy impact assessment","Responsible-use note; workflow map; risk register for healthcare AI"
Recruitment Screening Ethics,"An HR team is considering using AI to pre-screen applications for a professional development cohort based on stated criteria such as experience level and leadership history.","The HR lead must evaluate the ethical implications of automated screening and decide how to communicate the approach to applicants and internal stakeholders.","Identify ethical risks of AI-assisted screening; draft a transparency note for applicants; create a human-oversight checklist; propose safeguards","Bias in screening criteria; lack of transparency with applicants; appeal process gaps; legal compliance if adverse outcomes occur","What minimum human oversight is needed at each stage of an AI-assisted recruitment process?","HR Lead; Compliance Officer; Programme Director; Diversity and Inclusion Representative","Use AI to flag incomplete applications only; Use AI as a first-pass filter with human review of all borderline cases; Avoid AI screening entirely for this cohort; Pilot AI screening for one criterion only","Ethics note; transparency communication; human-oversight checklist"
Reporting Efficiency Improvement,"A programme management team currently produces weekly status reports manually, resulting in inconsistent formats, delayed submission, and low readability for senior reviewers.","The programme manager must propose a standardised AI-assisted reporting workflow that reduces preparation time without compromising accuracy or accountability.","Design a standardised report template; identify AI-suitable report sections; create a review checklist; draft a proposal for leadership approval","Template rigidity reducing nuance; AI generating generic observations from limited input; accountability gaps if authorship is unclear","How would you ensure that AI-assisted reports still reflect genuine human analysis and institutional judgement?","Programme Manager; Operations Analyst; Senior Reviewer; Team Lead","Standardise template and use AI only for formatting; Use AI to generate first draft with mandatory human review; Automate data aggregation and manual narrative; Pilot with one report type for six weeks","Standardised report template; review checklist; workflow proposal"
Cross-Functional Coordination Challenge,"Multiple departments are working towards the same programme deadline but operating independently with different update formats, inconsistent priority rankings, and limited shared visibility on risks.","The coordination lead must design a communication and information-sharing approach that creates alignment without adding administrative burden.","Map the coordination gaps; propose a shared update format; draft a coordination communication; identify the minimum viable oversight mechanism","Information overload if too many meetings are added; format fatigue if standards are too rigid; siloing if only one channel is used","What is the minimum structure needed to create genuine coordination without creating compliance overhead?","Coordination Lead; Programme Manager; Department Representative; Senior Oversight Officer","Introduce a weekly one-page update template shared via a common platform; Establish a fortnightly coordination call with a standard agenda; Assign a single coordination point of contact per department; Use a shared risk log as the primary alignment mechanism","Coordination communication; shared update template; risk log framework"
Service Quality Improvement,"A public-facing service unit has received a cluster of complaints about unclear information, inconsistent responses across channels, and long resolution times. Leadership wants an improvement plan within two weeks.","The service manager must determine whether the issue is primarily one of communication quality, process design, staff training, or information accuracy.","Categorise complaint themes; create an improvement priority list; draft a response framework for common complaint types; prepare a management brief","Overgeneralising from complaint clusters; identifying symptoms rather than root causes; communication that appears defensive rather than responsive","What would a human reviewer check before an AI-assisted response framework was sent to service staff?","Service Manager; Quality Improvement Lead; Communications Officer; Operations Head","Commission a root-cause analysis first; Implement a standardised response framework immediately; Run a short training session on common complaint themes; Create a tiered escalation protocol for complex complaints","Complaint analysis note; response framework draft; management brief"
