question,type,option_a,option_b,option_c,option_d,answer,explanation,difficulty,theme
Which statement best describes Generative AI?,MCQ,It only stores files,It generates new content based on learned patterns,It is only a spreadsheet tool,It replaces all human decisions,B,"Generative AI can create text, images, summaries, drafts, and other content, but requires human review.",Basic,prompt_engineering
Which data must never be uploaded to public AI tools?,MCQ,Dummy training note,Public brochure,Classified or confidential material,Synthetic caselet,C,"Sensitive, classified, personal, or confidential information should not be uploaded to public AI tools.",Basic,responsible_ai
A strong executive prompt should include context.,TrueFalse,True,False,,,A,Context improves relevance and reduces ambiguity in AI responses.,Basic,prompt_engineering
AI output can be used as final official authority without review.,TrueFalse,True,False,,,B,"AI output should support drafting and thinking, not replace accountable human approval.",Basic,responsible_ai
What does the O in R-C-T-O-F-E stand for?,MCQ,Output Format,Operations,Objective,Ownership,A,O stands for Output Format in the R-C-T-O-F-E prompt framework.,Basic,prompt_engineering
NotebookLM is most useful for:,MCQ,Source-grounded document understanding,Replacing legal authority,Accessing restricted systems,Creating classified reports,A,"NotebookLM is designed for source-grounded interaction with uploaded materials, though human review is still needed.",Basic,ai_productivity
What is hallucination in AI?,MCQ,A formatting style,A false or unsupported AI-generated claim,A data encryption method,A secure login system,B,Hallucination means AI may generate plausible but factually incorrect information.,Basic,hallucination_management
Which is the safest Gen AI use case?,MCQ,Uploading personnel records to a public tool,Drafting a note from dummy training data,Submitting AI output without review,Sharing confidential planning files,B,"Low-risk tasks using dummy or public data are safest for training demonstrations.",Basic,responsible_ai
Human-in-the-loop means:,MCQ,AI makes all decisions,"Humans review, validate, and approve AI-assisted work",No human involvement is needed,Only IT teams use AI tools,B,Human review and accountability are central to responsible AI use.,Basic,human_oversight
Which prompt element tells the AI which professional perspective to adopt?,MCQ,Role,Colour,File size,Browser history,A,"The role frames the AI's perspective, such as executive assistant, policy analyst, or risk reviewer.",Basic,prompt_engineering
Why should real personnel records not be uploaded to public AI tools?,MCQ,It makes prompts shorter,It may expose personal or organisational sensitive information,It changes the output colour,It prevents text formatting,B,"Personnel records can contain personal and confidential data that should not be submitted to public AI platforms.",Basic,responsible_ai
A risk register prompt should ideally include likelihood and impact fields.,TrueFalse,True,False,,,A,"Including likelihood, impact, mitigation, and owner fields makes a risk register more actionable for management review.",Basic,ai_for_reporting
Which output format best supports comparing two policy options for leadership?,MCQ,A random paragraph,A comparison table followed by a recommendation,Only hashtags,Only emoji,B,"A structured comparison table allows quick evaluation across criteria such as cost, risk, feasibility, and impact.",Basic,executive_decision_making
What should you do when AI generates a confident but unsourced factual claim?,MCQ,Use it immediately,Verify it from reliable sources before use,Remove all citations,Ignore the risk,B,AI fluency is not proof of accuracy. Factual claims require source verification.,Basic,hallucination_management
Gen AI can support decision-making but accountability remains with humans.,TrueFalse,True,False,,,A,"AI can assist drafting and analysis, but official decisions and human accountability cannot be delegated to AI.",Basic,human_oversight
Which tool is most appropriate for source-grounded document analysis?,MCQ,NotebookLM,A calculator only,A music application,A photo filter,A,"NotebookLM is designed for interacting with provided source documents, though human review is always needed.",Basic,ai_productivity
What does data minimisation mean in responsible AI use?,MCQ,Upload as much data as possible,Use only the minimum safe information needed for the task,Delete the prompt after use,Avoid all structure in responses,B,Data minimisation reduces exposure by limiting input to only what is necessary and safe.,Basic,responsible_ai
A vague prompt usually produces a more reliable output than a structured one.,TrueFalse,True,False,,,B,"Structured prompts improve relevance, format consistency, and completeness of AI responses.",Basic,prompt_engineering
The R in R-C-T-O-F-E stands for:,MCQ,Risk,Role,Result,Reference,B,"R stands for Role — the professional perspective you assign to the AI to frame its approach.",Basic,prompt_engineering
Which of the following is a realistic use for free AI tools in management work?,MCQ,Replacing official policy decisions,Drafting a first version of a meeting agenda,Accessing real-time confidential databases,Issuing official approvals,B,"Drafting non-sensitive first versions of documents is a safe and practical use of free AI tools, with human review.",Basic,ai_productivity
What is the main purpose of including constraints in a prompt?,MCQ,To make the output longer,To limit what the AI should not do or assume,To change the font style,To improve internet connection,B,Constraints prevent AI from inventing facts or making unsupported assumptions outside the supplied context.,Intermediate,prompt_engineering
Which of the following best defines hallucination risk in executive AI use?,MCQ,The risk that AI will produce colourful visuals,The risk that AI will generate plausible but incorrect information,The risk that the internet connection will fail,The risk that the AI will be too concise,B,"Hallucination risk means AI may produce confident, fluent responses that are factually incorrect or unsupported.",Intermediate,hallucination_management
When using AI to draft a policy brief from a public document, which constraint is most important?,MCQ,Ask AI to use bullet points only,Instruct AI not to add information beyond the source document,Ask AI to use only technical terms,Instruct AI to avoid all headings,B,Source-grounded constraints prevent AI from hallucinating policy details not present in the original document.,Intermediate,prompt_engineering
The Capstone Workflow Studio in this portal helps learners:,MCQ,Automate all reporting tasks,Design a safe AI-enabled workflow with human review points,Replace all manual processes,Access external databases,B,"The Capstone is designed to help learners plan a realistic, governed AI use case rather than automate everything.",Intermediate,workflow_improvement
Which risk is most relevant when using AI to draft stakeholder communications?,MCQ,File size risk,Tone misalignment and misrepresentation of the sender's authority,Power failure risk,Internet bandwidth risk,B,"Tone, authority level, and accurate representation are critical when AI assists in formal communications.",Intermediate,ai_for_communication
An AI-generated executive brief should be shared with leadership:,MCQ,Immediately after generation,Only after human review and fact verification,Without any changes to preserve authenticity,After removing all headings,B,"Any AI-assisted document intended for leadership must be reviewed, verified, and approved by a qualified person before circulation.",Intermediate,human_oversight
What is the primary risk of using AI output as the sole input for a procurement decision?,MCQ,The output may be too short,AI cannot verify procurement rules or official approval requirements,AI may use too many adjectives,The output might be in the wrong font,B,Procurement decisions require compliance with institutional rules and verified information that AI cannot independently confirm.,Intermediate,executive_decision_making
Which of the following represents a Medium-risk AI use case?,MCQ,Summarising a public training brochure using dummy notes,Using AI to draft a budget review note from anonymised data,Uploading classified documents for AI analysis,Using AI to issue a final official approval,B,"Budget analysis involves institutional data and interpretation risks, making it medium-risk even with anonymised data.",Intermediate,responsible_ai
A well-structured AI prompt is analogous to:,MCQ,A random internet search,A clear and specific management brief to a qualified staff member,A voice command to a home appliance,An automated rule in a spreadsheet,B,"A good prompt, like a good brief, specifies role, context, task, format, constraints, and evaluation criteria.",Intermediate,prompt_engineering
Which of the following would strengthen a risk register generated by AI?,MCQ,Removing all mitigation columns,Having a domain expert validate risk ratings and ownership,Accepting AI-assigned risk levels without review,Adding more rows without review,B,AI-generated risk ratings are estimates. A subject-matter expert must validate likelihood, impact, and ownership.,Intermediate,ai_for_reporting
What is overreliance risk in AI-assisted management work?,MCQ,Using AI too infrequently,Accepting AI outputs without critical review because they appear polished and confident,Using AI only for low-risk tasks,Running AI tools on outdated hardware,B,Overreliance occurs when the professional quality of AI output creates false confidence and bypasses critical review.,Intermediate,hallucination_management
Which approach best prevents bias in AI-generated performance reviews?,MCQ,Accept the AI output as objective,Have a diverse group of reviewers evaluate the AI-assisted output,Use only AI-generated language with no human edits,Remove all comparative language,B,"Diverse human review is the most effective safeguard against AI-generated bias in performance or evaluation contexts.",Intermediate,responsible_ai
The C in R-C-T-O-F-E refers to:,MCQ,Criteria,Constraints,Context,Classification,C,C stands for Context — the background information the AI needs to produce a relevant and accurate response.,Intermediate,prompt_engineering
Which tool would best support a manager preparing an evidence-based policy briefing from a long public document?,MCQ,A simple text editor,NotebookLM with source grounding,An unconnected AI tool without the source document,A presentation tool only,B,NotebookLM is designed to interact with uploaded documents in a source-grounded way for analysis and briefing tasks.,Intermediate,ai_productivity
Transparent disclosure of AI use in decision documents is important because:,MCQ,It makes the document look more technical,It helps reviewers and approvers understand which parts need verification,It is required for internet speed reasons,It automatically improves output quality,B,Transparency enables reviewers to apply appropriate scrutiny and ensures accountability is not obscured.,Intermediate,responsible_ai
A prompt that asks AI to 'make this better' is an example of:,MCQ,A well-structured executive prompt,A vague prompt that is likely to produce generic or unfocused results,A highly constrained safety-aware prompt,A source-grounded prompt,B,"'Make this better' lacks role, criteria, and output format. Specific prompts produce specific, useful results.",Intermediate,prompt_engineering
When AI is used to help prepare a training session plan, which element requires the most human adaptation?,MCQ,The number of words in the plan,Alignment with the specific learner group's context and experience,The typeface used in the document,The filename of the downloaded output,B,AI cannot know the specific professional context and experience of a given learner group. Facilitator adaptation is essential.,Intermediate,ai_productivity
Which of the following best describes the 'allowed, restricted, prohibited' framework in responsible AI governance?,MCQ,A file storage classification system,A method for classifying AI tasks by their safety and sensitivity level,A software licensing model,A data encoding standard,B,"The allowed/restricted/prohibited framework helps organisations and individuals classify AI tasks by risk level, guiding appropriate use.",Intermediate,responsible_ai
How can a manager guard against AI-generated reports that appear accurate but contain invented figures?,MCQ,Accept figures that are presented in a table format,Cross-reference all key figures with source documents or authoritative data,Delete all numbers from the report before sharing,Ask AI to generate the same report twice,B,Tabular presentation does not verify accuracy. All specific figures in AI-assisted reports must be traced to authoritative sources.,Intermediate,hallucination_management
What does the F in R-C-T-O-F-E stand for?,MCQ,Feasibility,Formatting,Feedback,Facts,B,F stands for Format (in some frameworks styled as Output Format). It specifies how the response should be structured.,Intermediate,prompt_engineering
Which statement about free AI tools like ChatGPT and Gemini is most accurate?,MCQ,They are always accurate and require no review,They can generate useful drafts but outputs must be verified before official use,They automatically comply with your organisation's policies,They can access your organisation's internal databases,B,"Free AI tools are powerful for drafting and ideation but their outputs are not validated against your organisation's data, policy, or institutional rules.",Intermediate,ai_productivity
When is it appropriate to use AI to assist in writing a recruitment communication?,MCQ,When the communication includes candidate personal data,When drafting a generic information message using dummy or approved text,When the communication will be sent without any human review,When it involves sensitive selection decisions,B,"Generic, non-personal recruitment information can be drafted with AI assistance, but personal data must not be included and human review is mandatory.",Intermediate,responsible_ai
A prompt that instructs AI to 'use only the information provided' is an example of:,MCQ,A vague constraint,A source-grounding constraint that reduces hallucination risk,A formatting instruction,A style preference,B,Source-grounding instructions tell the AI not to add invented information beyond the supplied input — one of the most important safety constraints.,Intermediate,hallucination_management
The primary purpose of the Readiness Checklist in this portal is to:,MCQ,Track attendance,Help assess whether a workflow is ready for a safe AI pilot,Replace human review,Generate AI prompts automatically,B,The readiness checklist helps professionals evaluate whether governance, data safety, and oversight conditions are in place before piloting AI use.,Intermediate,responsible_ai
Which of the following is the most complete executive use case for AI-assisted procurement support?,MCQ,Upload a confidential procurement file and ask AI to finalise the award decision,"Use dummy context to structure a non-sensitive justification note, then have a qualified reviewer validate it before submission",Accept AI output without reference to procurement rules,Use AI to bypass the standard approval workflow,B,"Structuring a non-sensitive note with AI and then having it validated by an authorised reviewer is a safe, governed approach to procurement support.",Intermediate,workflow_improvement
Which aspect of hallucination risk is most dangerous in high-stakes executive decisions?,MCQ,The risk that the AI output is too long,The risk that confident-sounding incorrect claims influence decisions without detection,The risk that the AI uses unfamiliar vocabulary,The risk that the formatting is inconsistent,B,In high-stakes decisions, undetected incorrect claims presented with AI's characteristic fluency and confidence pose the greatest risk.,Executive,hallucination_management
A senior manager asks you to use AI to draft a final policy decision. The most appropriate response is:,MCQ,Draft the decision in full and submit it without review,Explain that AI can draft options for human consideration but cannot replace authorised decision-making,Use AI to draft and submit to save time,Refuse to use AI entirely,B,"AI can support structured drafting of options, but official policy decisions require authorised human decision-makers. This boundary must be maintained.",Executive,human_oversight
Which governance mechanism most effectively prevents AI overreliance in an organisation?,MCQ,Banning all AI use,Embedding mandatory human review into all AI-assisted workflows and documenting reviewer names,Limiting AI to senior staff only,Requiring all staff to attend a one-hour online module annually,B,"Mandatory, documented human review embedded in workflows — not training alone — is the most effective operational safeguard against overreliance.",Executive,responsible_ai
When designing an organisational AI policy from scratch, which principle should be established first?,MCQ,Cost savings and productivity metrics,A clear classification of what AI may and may not be used for, based on data sensitivity and risk level,A list of approved AI tool vendors,A budget for AI licences,B,The foundational principle of any responsible AI policy is classification of permitted and prohibited use cases before any tools are deployed.,Executive,responsible_ai
Which executive prompt structure is most likely to produce a reliable briefing note from a public policy document?,MCQ,"Act as a note-taking assistant. Summarise everything.","Act as a policy communication specialist. Using only the following public policy extract, prepare a briefing note for operational managers covering: key obligations, required actions, ambiguous clauses needing clarification, and a compliance checklist. Do not add information beyond the source.",Make this document shorter.,Rephrase this document in a friendly tone.,B,"The second option includes a role, source-grounding constraint, specific output format, and audience context — all elements of a strong executive prompt.",Executive,prompt_engineering
A leader reviews an AI-drafted board briefing and notices it contains specific financial figures they did not provide. The correct action is:,MCQ,Use the figures as they appear in a well-formatted document,Remove all the figures and verify each one against the source before circulation,Ask AI to regenerate the briefing to see if the figures appear again,Delete the draft and abandon AI use entirely,B,"AI-generated figures not present in the original input are hallucinated. All figures in official documents must be traced to authoritative sources, never used directly from AI.",Executive,hallucination_management
An organisation wants to use AI for service quality analysis. Which data governance step must come first?,MCQ,Select the AI tool and begin uploading service data,Define what data is permissible to use and ensure no personal or sensitive customer information is included,Ask AI to identify the best data governance approach,Hire an AI specialist to oversee the project,B,Data governance classification must precede any AI use involving service data. Defining what is permissible is the foundational step.,Executive,responsible_ai
What is the strategic value of AI for executive managers in information-intensive environments?,MCQ,It removes the need for professional judgement,"It reduces time spent on routine drafting, summarisation, and information structuring, freeing capacity for higher-order judgement and leadership",It replaces staff functions entirely,It automatically ensures compliance with all regulations,B,"AI creates leverage for experienced professionals by handling structure and draft generation, but executive judgement remains the differentiating contribution.",Executive,executive_decision_making
Which type of AI error poses the greatest governance risk in a public-sector administration context?,MCQ,An AI output that has minor formatting inconsistencies,An AI-generated policy interpretation that is treated as authoritative without official validation,An AI summary that is slightly too long,An AI tool that loads slowly,B,"Treating AI-generated policy interpretations as authoritative without expert validation is a governance risk that can lead to misapplication of rules and accountability gaps.",Executive,responsible_ai
A team lead notices that junior colleagues are sharing AI-generated reports with senior leadership without editing or review. The most appropriate intervention is:,MCQ,Prohibit all AI use immediately,Establish a clear review and approval workflow with named reviewers for all AI-assisted outputs,Promote the junior colleagues for efficiency,Accept the practice if the reports look professional,B,"A structured review workflow, not prohibition, is the proportionate and practical governance response to unsupervised AI output sharing.",Executive,human_oversight
Which of the following represents the most mature organisational approach to AI risk management?,MCQ,Avoiding AI entirely to eliminate risk,"Using a tiered risk classification, regular review, mandatory human oversight, and a documented escalation pathway",Accepting all AI outputs without review to maximise speed,Restricting AI use to only the most senior leaders,B,"Mature AI risk management combines classification, oversight, documentation, and proportionate controls — not avoidance or uncritical acceptance.",Executive,responsible_ai
What is the key difference between a strong and a weak management prompt?,MCQ,Strong prompts use more technical jargon,"Strong prompts specify role, context, task, format, constraints, and quality criteria; weak prompts are vague and underspecified","Strong prompts are always longer, regardless of content",Strong prompts avoid any formatting instructions,B,"The quality of a prompt is determined by its specificity and structure, not its length. Role, context, task, output format, constraints, and evaluation criteria are the key elements.",Executive,prompt_engineering
When AI is used to generate a stakeholder engagement plan, which element requires the most human judgement to complete accurately?,MCQ,The number of stakeholder rows in the table,The political sensitivities and informal power dynamics that shape stakeholder relationships,The font size of the document,The length of the introduction,B,"AI can generate a structural framework, but informal power dynamics and political sensitivities require human relationship intelligence and contextual knowledge.",Executive,executive_decision_making
